rank,name,speed,spin,control,tackiness,weight,hardness,gears,throw_angle,consistency,durable,overall,ratings,price
198,Darker VLON-S Blue V,8.9,9.1,8.4,7.2,5.1,7.5,9.1,6.1,8.8,7.7,9.2,21,11.0
199,DHS Gold Arc 5,8.8,9.0,9.3,2.3,4.4,5.3,8.1,4.9,9.0,7.3,9.2,40,38.0
200,Xiom Vega Europe,8.7,9.0,9.1,2.0,3.4,2.8,7.8,4.7,9.3,6.8,9.2,205,42.0
201,Yasaka Rakza 7 Soft,8.6,9.2,9.1,2.4,3.7,2.5,7.7,5.5,9.8,7.5,9.2,136,53.0
202,Nittaku Hurricane Pro III Turbo Orange,8.6,9.3,8.9,8.5,8.3,8.6,8.9,5.3,8.9,7.6,9.2,39,55.0
203,Gewo Nexxus EL Pro 53 Hard,9.3,9.1,8.9,0.9,6.6,8.3,8.3,2.3,9.1,8.5,9.2,16,60.0
204,Yinhe Moon Pro,8.9,9.2,9.1,6.0,4.9,5.4,8.0,5.9,9.0,7.9,9.1,50,25.0
205,Friendship/729 Battle II,8.7,9.2,9.0,8.6,5.9,8.0,8.3,5.6,8.4,8.1,9.1,54,26.0
206,Donic Bluestorm Z1 Turbo,9.4,9.0,8.3,1.8,5.9,8.0,8.1,3.9,9.3,7.9,9.1,36,44.0
207,Donic Coppa X1 Gold,9.1,8.8,8.7,1.9,3.7,5.6,8.7,4.4,9.2,7.4,9.1,24,49.0
208,Yasaka V Stage,9.0,9.2,8.6,3.2,3.8,4.3,7.8,2.3,10.0,7.5,9.1,13,52.0
209,Tibhar Genius+ Optimum,9.0,9.3,8.9,2.7,4.5,5.8,9.1,5.5,9.7,6.5,9.1,31,50.0
210,Adidas P5,8.9,9.3,9.0,2.7,4.3,6.9,7.8,5.7,9.2,8.1,9.1,27,52.0
211,Tibhar Evolution FX-P,8.6,9.1,8.9,2.0,5.1,2.9,8.6,5.5,9.5,7.1,9.1,52,40.0
212,Andro Good,8.7,9.0,9.1,2.7,3.8,3.7,8.0,6.2,9.5,8.2,9.1,11,35.0
213,Gewo Mega Flex Control,7.3,8.6,9.4,0.4,3.8,4.0,5.7,4.5,8.9,8.6,9.1,13,35.0
214,Donic Coppa X2 Platin Soft,8.7,9.0,8.8,2.2,3.1,3.2,7.8,4.1,8.7,6.9,9.1,25,54.0
215,Cornilleau Target Pro GT-H47,9.3,9.2,8.7,2.4,6.3,6.7,8.9,6.6,9.0,7.9,9.1,28,40.0
216,Donic Coppa Speed,9.3,9.0,8.3,2.5,4.6,6.7,8.1,3.5,8.8,8.3,9.1,16,53.95
217,Andro Hexer Grip,8.8,9.3,9.2,0.8,4.4,5.2,8.0,5.6,9.2,7.6,9.1,34,44.0
218,Yinhe Mercury III EURO,8.9,8.8,9.2,0.4,3.7,4.4,7.2,5.0,9.1,8.9,9.1,19,16.0
219,Gewo Nexxus XT Pro 50 Hard,9.5,9.0,8.9,1.3,6.2,7.9,7.7,3.7,9.2,7.7,9.1,15,60.0
220,Donic Acuda S2,8.8,9.0,8.6,2.6,4.4,4.5,7.9,5.1,9.1,7.5,9.1,111,37.0
221,Xiom Omega VII Pro,9.2,9.1,8.6,1.7,4.2,6.1,8.4,5.4,8.7,6.6,9.1,27,70.0
222,JOOLA Dynaryz ACC,9.2,9.1,9.1,2.1,5.3,6.6,6.5,5.0,9.4,6.8,9.1,30,60.0
223,Andro Hexer Grip SFX,8.6,9.3,9.4,1.4,3.1,1.9,8.3,5.4,10.0,8.0,9.1,38,43.0
224,TSP Regalis Red,9.3,9.4,9.1,0.7,3.8,5.2,8.0,5.8,9.6,8.1,9.1,16,40.0
225,DHS Skyline 3-60 Mid Hard,8.5,8.9,9.2,6.1,4.6,6.2,8.8,5.5,9.1,7.9,9.1,24,30.0
226,Tibhar Sinus,8.9,9.0,8.4,3.1,4.1,5.5,6.2,5.1,9.1,7.0,9.1,32,60.0
227,Victas V > 15 Extra,9.2,9.2,8.9,1.1,6.3,6.7,8.2,5.5,9.2,6.5,9.1,39,53.0
228,DHS Hurricane 8,8.5,9.3,9.0,8.1,7.2,7.7,9.0,4.5,8.5,7.8,9.1,67,45.0
229,Stiga Almana,9.1,8.3,7.9,2.2,4.7,6.7,7.3,4.8,7.5,7.6,9.1,17,32.0
230,Donic BlueGrip V1,8.9,9.4,8.3,7.6,6.4,7.9,8.7,5.3,9.4,9.3,9.1,14,40.0
231,Palio CJ8000 Biotech 42-44° Japanese Sponge,7.7,8.9,8.3,2.4,6.3,6.0,8.3,7.3,9.3,7.4,9.1,13,11.5
232,Friendship/729 Battle II Provincial Gold,9.1,9.5,8.6,8.2,5.1,8.4,9.2,4.5,8.3,9.0,9.1,11,26.0
233,Stiga Mantra M,9.1,9.0,8.8,1.6,4.6,5.3,8.0,5.2,8.9,6.9,9.1,32,47.0
234,Gewo Hype EL Pro 42.5,8.8,9.1,9.3,1.1,4.1,4.6,7.2,5.5,8.2,6.8,9.1,24,52.0
235,Butterfly Bryce High Speed,9.4,8.4,8.4,2.1,3.5,4.6,7.2,4.3,8.4,7.8,9.1,27,55.0
236,Victas V > 15 Stiff,8.9,9.3,9.3,0.7,4.7,5.6,8.4,5.4,9.6,8.4,9.1,17,40.0
237,Donic Coppa X3 Silver,8.4,9.2,8.5,1.9,2.4,0.7,7.0,3.2,9.6,7.0,9.1,19,55.0
238,Butterfly Aibiss,8.5,9.3,9.3,4.7,4.0,9.9,8.3,6.2,9.8,8.7,9.1,22,40.0
239,Donic Acuda S1,9.2,9.1,8.2,1.9,4.6,6.7,8.3,5.1,8.9,7.0,9.1,58,52.0
240,Tibhar Primus,9.0,9.1,9.0,1.8,2.9,2.9,9.0,3.3,10.0,7.1,9.1,10,59.0
241,JOOLA Phenix (Phoenix),9.2,8.3,7.7,2.5,2.9,5.5,6.3,3.6,10.0,5.3,9.1,14,45.0
242,Palio Blitz,9.1,9.0,8.3,2.1,4.4,6.2,8.7,5.7,9.7,7.2,9.1,31,55.0
243,Tuttle Beijing 2,8.5,9.3,9.1,7.3,6.2,5.4,8.1,5.3,10.0,8.4,9.1,12,15.0
244,DHS Hurricane 3 (Provincial),8.5,9.3,8.7,8.4,6.6,7.0,9.1,6.4,8.1,8.7,9.1,37,55.0
245,Tibhar Sinus Alpha,8.5,9.0,8.7,1.1,2.4,2.6,7.8,6.0,9.0,7.1,9.1,20,46.0
246,JOOLA Rhyzer Pro 50,9.2,9.1,8.9,0.3,5.3,7.5,8.6,5.1,9.0,5.9,9.1,12,58.0
247,KTL (LKT) Pro XT Silver Dragon,8.9,8.8,8.6,6.5,5.6,6.1,7.9,5.3,8.8,6.5,9.1,19,20.0
248,DHS Memo,8.5,9.4,8.8,6.8,5.2,5.8,8.6,4.6,9.1,7.3,9.1,24,20.0
249,Donic Bluefire JP 02,8.9,8.8,8.6,1.9,5.8,5.2,8.2,4.7,8.6,7.3,9.1,23,54.0
250,Nittaku Narucross EX Soft,8.8,9.3,8.7,2.5,3.2,2.8,9.4,3.2,10.0,6.8,9.1,12,39.0
251,Stiga Airoc S,8.5,9.0,9.2,4.4,4.0,2.4,7.5,5.7,8.2,7.4,9.1,28,54.0
252,Andro Hexer Duro,9.1,9.2,8.6,2.8,4.2,4.8,7.0,5.0,8.6,8.5,9.1,41,34.0
253,Friendship/729 Battle II Provincial (Battle 2 Provincial),8.5,9.2,8.9,8.6,4.4,7.8,8.5,4.5,8.2,7.6,9.1,16,28.0
254,Butterfly Tenergy 05 Hard,9.4,9.3,8.4,1.8,7.9,9.4,8.3,6.0,9.1,7.4,9.1,32,60.0
255,Butterfly Tenergy 64 FX,9.0,8.9,8.5,1.6,4.6,2.9,7.7,3.9,9.4,7.5,9.1,44,65.0
256,Butterfly Bryce Speed FX,9.4,8.4,8.4,2.5,4.3,3.4,7.2,3.4,8.9,6.9,9.1,44,55.0
257,JOOLA X-Plode Sensitive,8.5,8.7,8.7,2.2,3.8,4.2,7.7,5.3,8.3,6.9,9.1,28,60.0
258,Gewo Neoflexx EFT 45,7.2,8.7,9.2,3.2,3.6,4.6,4.8,5.6,8.9,7.8,9.1,12,44.0
259,Yasaka Mark V HPS Soft,8.8,9.0,8.7,2.6,3.9,3.1,8.3,4.3,9.8,8.7,9.0,29,44.0
260,Air Illumina X88,8.9,8.9,8.5,2.0,4.3,5.4,7.3,3.3,8.8,7.1,9.0,25,25.0
261,JOOLA Express Two,8.6,9.0,8.8,2.2,3.6,3.6,8.2,4.8,8.6,6.2,9.0,23,65.0
262,Adidas TenZone,9.2,9.3,8.8,1.9,5.8,6.6,8.2,6.0,8.2,7.4,9.0,18,79.0
263,Andro Rasanter V47,9.3,9.0,9.0,1.5,5.0,6.6,8.3,5.3,9.0,8.5,9.0,21,49.0
264,Stiga Carbo Sound,9.2,8.6,9.1,2.1,3.6,3.8,6.3,4.1,8.9,8.2,9.0,22,36.0
265,Gewo Nexxus EL Pro 48,9.3,9.1,8.9,1.6,5.7,6.9,7.3,4.8,8.0,7.6,9.0,26,45.0
266,Palio Hadou 40+,8.7,9.0,9.1,3.7,4.8,5.7,7.0,4.5,9.2,7.5,9.0,33,19.0
267,Nittaku Flyatt Hard,9.0,8.8,8.7,2.6,3.5,6.6,7.9,4.3,9.0,8.7,9.0,23,25.0
268,Nittaku Hurricane 3 NEO,8.2,9.3,9.3,7.8,6.0,7.3,7.0,3.6,9.4,6.5,9.0,11,40.0
269,Stiga Airoc Astro S,8.9,9.0,8.8,4.2,4.1,3.9,6.5,5.2,8.2,6.4,9.0,19,55.0
270,Xiom Omega VII Asia,9.1,9.3,8.5,2.1,6.1,7.9,8.5,4.1,9.7,8.2,9.0,18,63.0
271,KTL (LKT) Red Diamond,8.5,8.8,8.7,5.3,5.9,6.6,8.2,4.5,8.1,5.9,9.0,29,14.0
272,Loki GTX Pro,8.7,9.1,9.1,6.1,6.4,7.4,7.9,4.5,9.5,7.0,9.0,15,39.0
273,Butterfly Bryce Speed,9.4,8.3,8.0,1.4,5.4,6.7,6.2,2.7,8.2,7.3,9.0,43,55.0
274,Juic Neo Anti (Anti-spin),4.5,3.5,9.2,0.4,3.8,1.0,6.3,2.6,9.4,9.2,9.0,12,32.0
275,Palio Thors,8.7,9.3,8.4,6.4,6.7,8.1,8.0,5.0,9.1,7.3,9.0,45,30.0
276,Yasaka Rigan,8.4,8.9,9.2,2.5,4.0,3.1,7.2,4.7,9.6,7.8,9.0,16,35.0
277,Andro Plaxon 400,8.6,9.1,9.3,0.4,3.8,4.1,8.8,4.5,9.4,8.9,9.0,14,44.0
278,Butterfly Tackifire C Soft,7.4,9.1,8.8,7.1,4.0,2.0,7.0,4.0,9.0,8.2,9.0,14,52.0
279,Palio Hidden Dragon Biotech,8.3,8.8,9.0,0.6,4.8,4.4,7.0,5.7,8.3,6.8,9.0,13,12.0
280,Andro Hexer,8.7,9.1,8.5,2.4,5.3,6.0,8.7,5.2,9.3,7.6,9.0,47,47.0
281,Yasaka Shining Dragon,8.8,9.2,9.0,7.2,4.7,5.8,8.4,6.1,9.5,8.1,9.0,23,37.0
282,DHS Skyline TG3 (No. 21 Blue Sponge),8.8,9.4,8.8,6.8,4.4,6.3,8.2,6.2,7.2,8.9,9.0,13,18.0
283,JOOLA Energy X-tra (Green Power),8.3,8.5,8.6,1.3,2.5,1.5,8.4,5.3,9.4,5.5,9.0,41,57.0
284,Andro Plasma 470,9.1,8.7,8.5,0.8,2.4,3.9,8.5,8.1,9.4,7.3,9.0,28,43.99
285,Victas V > 01,9.1,8.9,8.9,0.6,4.5,6.3,7.5,4.0,8.3,7.0,9.0,19,50.0
286,Xiom Tau,8.6,9.5,8.9,6.1,5.5,8.1,8.4,7.5,9.6,9.2,9.0,16,75.0
287,Stiga Power LT,9.0,8.9,9.0,1.7,2.3,2.9,9.0,6.2,8.9,8.2,9.0,13,30.0
288,Stiga Almana Sound SynergyTech,9.5,8.7,8.7,3.3,3.4,3.3,6.1,3.4,8.3,5.7,9.0,17,39.0
289,JOOLA Energy Green Power,9.0,8.5,8.1,1.5,3.1,3.4,7.9,5.1,7.1,4.7,9.0,16,54.0
290,Friendship/729 Bloom Power,8.7,9.1,8.8,8.5,7.0,8.3,8.0,3.6,7.9,8.4,9.0,24,15.0
291,DHS NEO Hurricane 3 Provincial (Blue Sponge),8.3,9.2,8.5,8.4,6.6,7.9,7.8,4.4,7.8,7.8,9.0,21,70.0
292,Xiom Omega 2 Asian,9.3,8.5,7.8,2.1,4.9,6.1,5.3,3.8,7.7,7.4,9.0,20,41.0
293,DHS Hurricane 3 National (Orange Sponge),8.5,9.3,8.6,7.5,6.7,7.3,8.7,7.3,9.2,8.2,9.0,22,65.0
294,Bomb Mopha,8.5,8.1,8.7,1.1,2.6,6.1,8.0,3.4,7.5,6.8,9.0,10,18.0
295,Xiom Vega Tour,8.9,8.9,8.8,2.2,3.8,6.7,8.3,5.6,9.4,6.4,9.0,13,51.0
296,Tibhar Aurus Sound,8.5,9.0,8.8,2.2,3.4,2.1,7.0,5.1,9.2,7.0,9.0,39,40.0
297,Stiga Mantra S,8.7,9.0,9.1,3.3,4.4,3.0,6.0,3.8,7.8,6.2,9.0,10,50.0
298,DHS NEO Hurricane 3,8.4,9.3,8.7,8.1,6.6,8.0,8.7,5.8,7.4,7.6,9.0,307,24.0
299,Donic Acuda S3,8.4,9.0,8.7,1.8,3.6,1.9,7.8,5.5,9.5,7.4,9.0,74,52.0
300,DHS NEO Skyline 2 TG2,8.5,9.3,8.7,8.0,6.1,7.1,8.2,4.9,8.2,7.8,9.0,111,32.0
301,Nittaku Factive,8.5,8.6,9.1,1.7,3.5,5.2,7.2,5.1,9.7,8.1,9.0,24,40.0
302,JOOLA Express X-plode,9.2,8.8,8.2,4.5,5.5,6.5,7.5,5.5,8.6,5.3,9.0,14,54.0
303,DHS Tin Arc 5,8.6,8.9,9.0,4.7,5.8,6.2,6.5,4.5,9.3,6.9,9.0,23,30.0
304,DHS NEO Skyline 3 TG3,8.5,9.0,8.7,7.5,6.1,7.5,8.3,4.8,7.9,7.8,9.0,90,24.0
305,Giant Dragon SuperSpin G3 Soft,8.4,9.3,8.2,7.5,5.6,4.0,7.5,5.6,7.5,6.5,9.0,12,24.99
306,Reactor Thunder,8.9,8.9,8.6,6.6,6.0,7.1,7.0,5.2,8.5,7.7,9.0,23,12.0
307,Donic Acuda Blue P1 Turbo,9.4,9.3,8.9,2.4,5.2,6.5,7.7,5.3,9.3,8.1,9.0,18,54.0
308,Palio AK 47 Blue,8.9,8.7,8.8,0.7,2.3,2.7,6.9,4.5,8.2,7.2,9.0,52,21.0
309,Xiom Omega IV Elite,8.2,9.2,8.9,2.2,3.4,1.2,7.3,6.2,9.2,6.4,9.0,36,29.0
310,Donic Bluefire JP 01,8.8,9.0,8.9,2.7,5.9,6.5,8.1,5.5,8.8,7.3,9.0,28,54.0
311,Donic Coppa,8.4,8.8,8.7,3.8,4.9,5.7,7.9,4.6,10.0,7.3,9.0,16,37.0
312,Donic Bluefire M3,8.4,9.1,8.9,1.8,5.3,3.1,8.1,7.2,8.9,7.9,8.9,51,55.0
313,Nittaku Hurricane 3 (H3),8.7,9.2,8.9,6.3,6.9,7.6,8.1,6.4,7.3,7.0,8.9,17,35.0
314,SpinLord Tiger,8.0,8.0,8.3,2.3,3.8,6.2,7.4,5.8,10.0,7.0,8.9,10,25.0
315,Tibhar Rapid,8.3,8.2,8.2,3.2,4.1,4.6,7.5,5.5,7.7,7.5,8.9,23,28.0
316,Stiga Neos Tacky,7.6,9.1,9.1,7.5,2.5,4.6,6.9,6.3,8.8,5.8,8.9,33,37.0
317,Tibhar Nimbus VIP,9.4,8.8,8.1,4.4,4.7,7.4,9.0,5.6,9.4,7.6,8.9,12,40.0
318,DHS Hurricane 3 (H3) Pro (Tuned),8.7,9.3,8.5,7.6,7.0,7.1,7.4,6.8,6.9,6.4,8.9,10,55.0
319,Nittaku DHS Hurricane 3,8.3,9.3,8.9,8.2,6.7,8.1,8.3,8.0,8.1,5.6,8.9,11,50.0
320,Donic Bluestorm Z2,9.2,9.0,8.7,1.8,5.3,6.5,8.0,5.0,9.2,5.5,8.9,28,48.0
321,Yinhe Jupiter 3 Asia,8.7,9.0,9.0,6.4,6.0,7.6,8.3,4.7,8.9,8.4,8.9,24,15.0
322,Loki Arthur Asia,8.4,9.0,8.9,6.8,6.8,8.0,7.7,3.3,9.0,7.1,8.9,10,49.0
323,Tibhar Aurus Soft,8.6,9.1,8.8,2.4,4.1,4.6,8.0,6.3,9.2,7.6,8.9,43,35.0
324,Butterfly Cermet,8.6,8.2,8.3,0.9,2.8,4.0,8.3,2.9,10.0,7.8,8.9,10,43.0
325,Nittaku Alhelg,9.1,9.2,9.1,2.3,5.3,5.3,8.5,5.7,9.2,7.5,8.9,19,45.0
326,Stiga Magna TC II (2),9.0,8.5,8.7,2.8,3.1,4.2,7.8,4.0,9.0,7.3,8.9,21,40.0
327,Stiga DNA Pro M,8.8,8.9,9.0,2.0,5.3,6.5,7.6,6.8,8.9,5.7,8.9,22,50.0
328,JOOLA Maxxx 450,9.1,8.9,8.7,0.5,5.6,5.6,8.5,5.8,9.4,7.6,8.9,13,60.0
329,Dawei Inspirit,8.0,8.5,8.2,2.4,5.4,4.9,5.8,3.9,6.3,8.0,8.9,24,12.0
330,Butterfly Sriver G3 FX,8.6,8.4,8.6,2.7,3.7,3.3,7.9,7.1,8.0,7.1,8.9,50,59.0
331,Donic Desto F3 Big Slam,7.7,8.4,8.6,0.7,1.9,0.2,6.9,5.4,7.7,4.1,8.9,35,44.95
332,Donic Desto F2,8.7,8.7,8.2,2.0,4.0,4.8,5.7,5.1,7.5,5.7,8.9,11,44.0
333,Kokutaku 868 Training Rubber,7.8,8.5,9.3,5.4,5.4,6.2,4.9,4.7,6.0,7.8,8.9,10,6.0
334,Tuttle Beijing 4,8.3,8.5,9.1,2.1,2.9,2.6,7.2,4.5,8.9,7.9,8.9,17,12.0
335,XuShaoFa 999 ZCD,8.7,8.8,9.0,5.6,5.6,4.6,5.5,4.3,7.5,6.9,8.9,14,6.0
336,Stiga Calibra Tour M,9.2,8.6,8.7,0.5,4.1,5.5,6.8,3.6,8.1,6.9,8.9,15,50.0
337,Tibhar Sinus Sound,8.4,8.4,8.8,1.6,1.2,0.7,7.0,4.8,9.6,6.2,8.9,26,40.0
338,Stiga Boost TS,8.8,8.9,8.7,2.4,2.6,1.3,7.6,4.1,8.1,6.9,8.9,52,50.0
339,DHS Skyline TG3,8.6,9.0,8.6,8.2,6.8,8.5,7.2,4.5,7.7,7.9,8.9,56,27.0
340,Stiga Boost TP,8.9,8.8,8.5,2.7,4.3,5.7,7.5,2.8,7.9,6.8,8.9,14,58.0
341,Palio CJ8000 Biotech 40-42°,8.3,8.9,9.0,2.4,5.8,5.5,7.8,7.4,7.8,7.9,8.9,11,16.0
342,Sanwei Target National,8.6,9.2,8.9,8.0,7.2,7.1,8.6,4.4,8.5,7.5,8.9,36,20.0
343,Donic Desto F1,9.4,8.6,7.4,1.9,4.4,4.4,7.2,6.4,8.0,4.9,8.9,22,43.0
344,Yasaka Mark V XS,8.4,8.7,8.4,3.2,3.6,4.1,7.4,3.4,8.6,8.5,8.9,19,46.0
345,DHS G666,7.7,9.1,9.0,7.8,6.8,6.8,7.6,6.2,7.4,6.7,8.9,37,20.0
346,Gewo Hype EL Pro 47.5,9.1,9.0,9.0,0.5,5.6,6.6,7.3,4.5,7.9,6.7,8.9,29,44.0
347,Friendship/729 729-08,8.5,9.2,8.8,7.4,6.1,8.5,7.5,4.9,8.4,7.2,8.9,29,20.0
348,Yinhe Big Dipper,8.6,8.9,8.5,5.1,6.3,7.4,8.2,5.7,8.5,7.4,8.9,55,24.0
349,Friendship/729 Faster 3 (Fenghun 3),8.9,8.8,8.8,6.2,4.9,4.8,6.6,5.6,7.5,7.9,8.9,17,14.0
350,Yinhe Sun,8.8,8.9,9.1,2.0,5.8,5.2,7.2,4.3,8.4,7.5,8.9,37,16.0
351,JOOLA Mambo H,8.1,8.9,8.9,3.9,3.7,5.0,7.7,5.5,9.1,7.9,8.9,25,38.0
352,Butterfly Tackifire Special-Soft,7.9,9.1,9.1,3.4,5.9,3.4,8.3,5.6,9.6,8.7,8.9,20,51.0
353,Butterfly Glayzer,8.6,8.9,9.1,2.0,6.0,6.8,6.7,6.2,10.0,7.6,8.9,12,42.0
354,Xiom Vega Asia,8.9,8.4,8.5,2.5,4.2,5.6,7.8,4.5,9.1,7.8,8.9,53,34.0
355,Friendship/729 Origin,7.3,8.7,8.7,7.0,5.1,6.3,6.6,4.5,7.5,6.0,8.9,10,14.0
356,Palio HK1997 Biotech,8.3,8.7,8.9,2.1,4.4,4.5,7.0,4.5,7.3,8.3,8.9,19,27.0
357,Tibhar Evolution EL-S,8.7,9.0,8.9,2.3,6.2,6.0,8.5,5.4,8.7,6.7,8.9,51,40.0
358,Donic Coppa JO Gold,9.1,8.6,8.4,2.7,4.2,6.7,7.0,4.5,7.7,6.4,8.9,30,38.0
359,Donic Bluefire M2,8.7,9.0,8.5,1.9,5.7,5.4,7.7,6.4,9.2,6.4,8.9,66,55.0
360,Butterfly Glayzer 09C,8.1,9.1,9.2,4.5,4.8,7.4,7.9,7.3,9.3,7.9,8.9,25,45.0
361,Dawei Inspirit Quattro Ultralight 40,8.7,8.2,8.6,2.9,3.5,5.4,8.0,4.3,9.7,8.4,8.9,23,16.0
362,Donic Baracuda Big Slam,8.2,9.2,8.6,2.0,4.5,2.5,6.4,5.9,9.4,6.4,8.9,33,70.0
363,DHS Tin Arc,8.3,8.5,8.5,2.5,5.8,6.4,7.6,4.8,8.8,7.9,8.8,22,38.0
364,Xiom Vega Japan,9.0,8.9,8.8,1.9,5.2,5.3,8.4,4.8,9.2,7.2,8.8,44,39.0
365,Palio HK1997 Gold,8.9,8.9,8.8,3.3,4.5,6.8,6.8,4.6,7.7,6.6,8.8,30,25.0
366,Donic Sonex JP Gold,9.0,8.6,8.1,2.3,4.3,4.5,7.0,3.3,7.9,5.6,8.8,38,35.0
367,Butterfly Solcion,7.9,8.2,8.9,1.6,2.7,0.2,7.8,5.9,9.4,7.4,8.8,23,53.0
368,JOOLA Tango Extrem,8.7,8.2,6.5,4.1,4.0,4.1,7.3,3.5,10.0,6.3,8.8,10,42.0
369,Friendship/729 Focus 3 Snipe,8.6,8.3,8.9,1.5,2.1,3.1,7.1,4.1,8.4,6.8,8.8,134,15.0
370,Friendship/729 729-5,8.8,8.7,8.9,3.5,4.5,6.0,6.3,5.3,8.8,7.7,8.8,57,17.0
371,JOOLA Rhyzer 48,9.1,9.0,8.2,0.5,5.3,5.8,7.5,5.7,6.3,5.7,8.8,14,58.0
372,Butterfly Roundell Soft,8.6,8.7,8.8,2.4,2.5,0.6,7.8,4.4,9.6,6.6,8.8,16,45.0
373,Palio CJ8000 Biotech 36-38°,7.6,8.5,9.1,4.6,4.5,3.3,8.2,6.0,9.0,7.3,8.8,28,16.0
374,Palio CJ8000 Extreme Spin,8.3,9.0,8.8,6.6,4.2,5.0,6.6,4.8,8.3,8.3,8.8,12,16.0
375,Butterfly Tenergy 80 FX,8.9,8.9,8.5,1.9,4.4,3.6,7.9,5.2,8.7,7.5,8.8,24,65.0
376,DHS Tin Arc 3,8.6,8.9,9.0,4.2,6.2,5.8,7.5,5.2,9.0,7.4,8.8,57,32.0
377,Butterfly Rozena,8.7,8.4,8.8,1.6,4.6,5.0,7.0,5.5,8.9,6.8,8.8,82,35.0
378,Yasaka Mark V M2,8.7,8.4,8.5,3.0,4.5,4.4,5.9,3.3,8.5,7.2,8.8,18,32.0
379,Tibhar Legend Destroyer,7.5,8.4,8.3,7.2,4.1,6.2,8.0,5.3,9.4,7.7,8.8,17,14.0
380,Dawei Saviga,8.3,8.4,8.5,1.3,5.5,6.9,8.1,2.7,7.0,6.5,8.8,10,16.0
381,Friendship/729 729-08 ES,8.3,8.6,8.7,4.9,5.1,5.8,7.5,5.7,9.3,7.2,8.8,21,22.0
382,DHS Hurricane 3-50,8.1,9.0,9.0,8.5,5.8,4.9,8.0,5.4,8.0,6.8,8.8,30,29.0
383,Friendship/729 729 OEM,8.3,8.3,9.1,5.8,3.2,5.0,6.0,4.2,8.1,6.8,8.8,12,5.0
384,Tibhar Quantum,8.4,8.9,9.1,1.6,3.0,4.8,8.5,6.2,8.3,6.9,8.8,11,56.0
385,DHS Hurricane 2 (No. 19 Sponge),8.7,9.0,8.7,6.9,5.3,5.3,6.3,5.8,6.4,7.9,8.8,10,18.0
386,Nittaku Hammond,9.1,8.5,8.1,1.0,2.7,2.9,6.8,2.3,7.5,6.8,8.8,14,38.0
387,Palio AK 47 Yellow Sponge,8.6,8.5,8.7,0.7,3.3,4.3,6.4,5.0,8.1,7.1,8.8,29,12.0
388,Stiga Airoc M,8.8,9.0,8.7,2.5,5.3,5.4,6.8,5.6,8.3,7.1,8.8,18,37.0
389,Yinhe Earth 2,8.7,8.1,8.9,3.1,3.8,3.4,5.8,4.8,9.3,8.6,8.8,10,18.0
390,Nittaku Hammond X,8.9,8.7,8.1,3.1,4.0,5.0,5.3,2.0,8.9,7.4,8.8,10,43.0
391,Butterfly Tackiness Chop 2,6.6,8.8,9.0,5.4,3.8,5.1,6.1,3.3,9.7,6.7,8.8,23,45.0
392,Andro Backside 2.0D,7.8,9.1,9.1,3.5,5.3,4.0,7.0,4.7,9.4,7.4,8.8,14,30.0
393,Tuttle Prevention Arc,5.4,5.7,9.2,0.0,1.6,0.8,1.3,1.1,10.0,8.9,8.8,11,11.0
394,Dawei Inspirit Quattro Ultralight SV 35,8.3,8.5,8.6,2.9,3.9,2.2,7.1,4.1,9.3,7.7,8.8,22,16.0
